"beetle_id","frequency","rel_site","Notes","lat2","lon2","d2","t2","extended_track_bearing","end_point_located","in_tree","breeding_site"
2968,148.641,"Asan","weak signal coming from swamp across from Asan Park; swamp",13.473933,144.708633,"11-Aug-15","9:18",180.00,FALSE,,
2977,148.671,"Asan","Found at base of coco tree; just off beach",13.474933,144.708750,"11-Aug-15",,,TRUE,FALSE,
2991,148.693,"Asan","Lost west over hill",13.472575,144.707141,"2015-08-12 19:58:50",,270.00,FALSE,,
2981,148.703,"Asan","Lost west over hill; no track",,,,,270.00,FALSE,,
2971,148.732,"Yigo","top of coconut tree adjust GPS",13.535104,144.873882,"12-Aug-15","11:00",,TRUE,TRUE,
2929,148.752,,"lost; no track",,,"10-Aug-15",,,FALSE,,
2985,148.764,"Asan","out of range; towards road",13.473374,144.708416,"08/10/15","09:01:00 PM",180.00,FALSE,,
2963,148.782,"Yigo","under trailer in the dirt; no track",13.529393,144.870394,"12-Aug-15","12:36",,TRUE,FALSE,
2952,148.792,"Yigo","beetle in breadfruit tree; 2952?; wooded",13.530583,144.872400,"10-Aug-15","9:30",,TRUE,TRUE,TRUE
2978,148.82,"Yigo","faint signal in woods; no track",13.529850,144.872300,"11-Aug-15","20:58",196.44,FALSE,,
2982,148.851,"Yigo","under barrel #12, saw beetle, left beetle",13.532033,144.873467,"12-Aug-15","9:18",,TRUE,FALSE,
2987,148.873,"Asan","base of coconut",13.474723,144.708906,"13-Aug-15",,,TRUE,FALSE,
2970,148.873,"Yigo","found beetle in soil, transmitter ~20 cm away, retrieved beetle; transmitter reused??",13.532250,144.870383,"12-Aug-15","10:00",,TRUE,FALSE,
2931,148.902,"Yigo","out of range, toward highschool? East; no track",,,"7-Aug-15",,135.00,FALSE,,
2958,148.932,"Yigo","in coconut tree with 6+ bore holes; wooded",13.530546,144.870442,"11-Aug-15","11:00",,TRUE,TRUE,
2974,148.963,"Yigo","edge of dense woods, up high; wooded; no track",13.529167,144.872683,"11-Aug-15","19:31",181.72,FALSE,TRUE,
2976,148.972,"Asan","Damaged wing, lost west over hill; no track",,,,,270.00,FALSE,,
2962,148.992,"Asan","Coconut top",13.473946,144.708144,"13-Aug-15",,,TRUE,TRUE,
2980,164.032,"Asan","in damaged coco tree crown",13.473150,144.708310,"11-Aug-15","8:56",,TRUE,TRUE,
2989,164.058,"Asan","Same place in coco crown",13.473707,144.711533,,,,TRUE,TRUE,
2951,164.082,,"Lost east; no coordnates recorded",,,,,90.00,FALSE,,
2967,164.107,"Asan","in damaged coco tree crown",13.473160,144.708330,"11-Aug-15","8:54",,TRUE,TRUE,
2972,164.132,"Yigo","lost into dense brush",13.532510,144.871660,"12-Aug-15","11:07",318.00,FALSE,,
2964,164.157,"Asan","on top of large coco tree on beach across the hill Asan Park",13.471210,144.706360,"11-Aug-15",,,TRUE,TRUE,
2988,164.182,"Asan","Found beetl under barrel trap. breedin site",13.475751,144.707832,,,,TRUE,FALSE,TRUE
2949,164.208,"Yigo","in heavily damaged coco tree over fence; wooded",13.533230,144.873760,"12-Aug-15","9:09",,TRUE,TRUE,
2979,164.232,"Asan","Lost at indicated coordinates; went out of range",13.474440,144.708450,"10-Aug-15",,351.03,FALSE,FALSE,
2983,164.258,"Asan","In or around base of small coco tree",13.473650,144.712750,"11-Aug-15","9:07",,TRUE,FALSE,
2975,164.282,"Asan","On top of big coco tree",13.473145,144.708264,,,,TRUE,TRUE,
2969,164.307,,,,,,,,FALSE,,
2966,164.333,"Yigo","In coco tree crown in private property; wooded",13.529730,144.871570,"12-Aug-15","11:43",,TRUE,TRUE,
2965,164.357,"Asan","towards tall grass only up high",13.472615,144.707277,"08/13/15","11:20:00 AM",180.00,FALSE,TRUE,
2944,164.382,"Asan","Asan; Did not fly",,,,,,,,
2973,164.409,"Yigo","in brush line around base of small papy; wooded",13.531440,144.871610,"11-Aug-15","20:32",,TRUE,FALSE,
