frequency|track
148.671|LINESTRING(144.708537 13.473904,144.708741 13.474914,144.708739 13.47493)
148.693|LINESTRING(144.708537 13.473904,144.707141 13.472575)
148.732|LINESTRING(144.87275 13.531333,144.871667 13.533517,144.873841 13.534695)
148.764|LINESTRING(144.708537 13.473904,144.708415959 13.4733739961)
148.792|LINESTRING(144.708537 13.473904,144.707267 13.472583)
148.851|LINESTRING(144.87275 13.531333,144.873406 13.532034,144.87348 13.532032,144.8734 13.532036)
148.873|LINESTRING(144.87275 13.531333,144.87086 13.532304,144.870622 13.532258,144.707886 13.475064,144.70897 13.4747)
148.932|LINESTRING(144.708537 13.473904,144.775814 13.492996,144.775814 13.492996)
148.992|LINESTRING(144.708537 13.473904,144.707217 13.473563,144.708077 13.473998,144.70812 13.474004,144.708144 13.473946)
164.132|LINESTRING(144.87275 13.531333,144.872727 13.53132,144.871666 13.532509)
164.157|LINESTRING(144.87275 13.531333,144.708445 13.474407,144.707195 13.472294,144.706364 13.471207,144.871812 13.532386,144.871812 13.532386)
164.282|LINESTRING(144.708537 13.473904,144.708264 13.473145,144.708251 13.474748)
164.357|LINESTRING(144.708537 13.473904,144.70631 13.471225,144.707957 13.47176,144.707957 13.47176,144.707277 13.472615)
164.380|LINESTRING(144.708537 13.473904,144.707277 13.472615)
164.382|LINESTRING(144.708537 13.473904,144.708587 13.473975)
